price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,day_sold,Age_at_Sale,Year_since_Renovation,was_renovated
937000.0,3,1.75,2450,2691,2.0,0,0,3,8,1750,700,0,98119,47.6386,-122.36,1760,3573,26,99,99,False
667000.0,3,1.0,1400,1581,1.5,0,0,5,8,1400,0,0,98112,47.6221,-122.314,1860,3861,1,105,105,False
438000.0,3,1.75,1520,6380,1.0,0,0,3,7,790,730,0,98115,47.695,-122.304,1520,6235,24,66,66,False
719000.0,4,2.5,2570,7173,2.0,0,0,3,8,2570,0,0,98052,47.7073,-122.11,2630,6026,2,10,10,False
580500.0,3,2.5,2320,3980,2.0,0,0,3,8,2320,0,0,98027,47.5391,-122.07,2580,3980,10,11,11,False
280000.0,2,1.5,1190,1265,3.0,0,0,3,7,1190,0,0,98133,47.7274,-122.357,1390,1756,1,9,9,False
687500.0,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,0,98117,47.6823,-122.368,1460,5000,24,85,85,False
535000.0,3,1.0,1090,3000,1.5,0,0,4,8,1090,0,0,98117,47.6889,-122.375,1570,5080,10,85,85,False
322500.0,4,2.75,2060,6659,1.0,0,0,3,7,1280,780,0,98058,47.4276,-122.157,2020,8720,3,33,33,False
696000.0,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,2002,98115,47.6827,-122.31,1590,3264,13,84,12,True
550000.0,4,1.0,1660,34848,1.0,0,0,1,5,930,730,0,98052,47.6621,-122.132,2160,11467,28,81,81,False
640000.0,4,2.0,2360,6000,2.0,0,0,4,8,2360,0,0,98107,47.6702,-122.362,1730,4700,30,110,110,False
240000.0,4,1.0,1220,8075,1.0,0,0,2,7,890,330,0,98001,47.3341,-122.282,1290,7800,13,46,46,False
605000.0,4,2.5,2620,7553,2.0,0,0,3,8,2620,0,0,98056,47.5301,-122.18,2620,11884,20,18,18,False
625000.0,4,2.5,2570,5520,2.0,0,0,3,9,2570,0,0,98074,47.6145,-122.027,2470,5669,15,14,14,False
775000.0,4,2.25,4220,24186,1.0,0,0,3,8,2600,1620,0,98166,47.445,-122.347,2410,30617,11,30,30,False
861990.0,5,2.75,3595,5639,2.0,0,0,3,9,3595,0,0,98053,47.6848,-122.016,3625,5639,7,0,0,False
685000.0,3,1.0,1570,2280,2.0,0,0,3,7,1570,0,0,98119,47.6413,-122.364,1580,2640,28,92,92,False
309000.0,3,1.0,1280,9656,1.0,0,0,4,6,920,360,0,98058,47.4485,-122.175,1340,8808,29,55,55,False
488000.0,3,2.5,3160,13603,2.0,0,0,3,8,3160,0,0,98019,47.7443,-121.977,3050,9232,18,11,11,False
210490.0,3,1.0,990,8528,1.0,0,0,3,6,990,0,0,98023,47.3066,-122.371,1228,8840,25,49,49,False
785000.0,4,2.5,2290,13416,2.0,0,0,4,9,2290,0,0,98007,47.6194,-122.151,2680,13685,16,33,33,False
450000.0,3,1.75,1250,5963,1.0,0,0,4,7,1250,0,0,98115,47.6796,-122.301,970,5100,28,62,62,False
1350000.0,3,2.5,2753,65005,1.0,1,2,5,9,2165,588,0,98070,47.4041,-122.451,2680,72513,11,62,62,False
228000.0,3,1.0,1190,9199,1.0,0,0,3,7,1190,0,0,98148,47.4258,-122.322,1190,9364,16,59,59,False
345000.0,5,2.5,3150,9134,1.0,0,0,4,8,1640,1510,0,98056,47.4934,-122.189,1990,9133,17,49,49,False
600000.0,3,1.75,1410,4080,1.0,0,0,4,7,1000,410,0,98117,47.6808,-122.384,1410,4080,31,64,64,False
585000.0,2,1.75,1980,8550,1.0,0,0,3,7,990,990,0,98117,47.6989,-122.369,1480,6738,5,34,34,False
920000.0,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,0,98105,47.6571,-122.281,2730,6000,3,88,88,False
885000.0,4,2.5,2830,5000,2.0,0,0,3,9,2830,0,0,98105,47.6597,-122.29,1950,5000,12,19,19,False
292500.0,4,2.5,2250,4495,2.0,0,0,3,7,2250,0,0,98042,47.3663,-122.114,2250,4500,19,6,6,False
301000.0,3,2.5,2420,4750,2.0,0,0,3,8,2420,0,0,98042,47.3663,-122.122,2690,4750,7,12,12,False
951000.0,5,3.25,3250,14342,2.0,0,4,4,8,3250,0,0,98008,47.588,-122.116,2960,11044,27,46,46,False
430000.0,4,3.0,1850,9976,2.0,0,0,3,8,1850,0,0,98059,47.5059,-122.149,2270,8542,23,24,24,False
650000.0,3,2.25,2150,21235,1.0,0,3,4,8,1590,560,0,98166,47.4336,-122.339,2570,18900,10,55,55,False
289000.0,3,1.75,1260,8400,1.0,0,0,3,7,1260,0,0,98148,47.4366,-122.335,1290,8750,28,60,60,False
505000.0,3,1.75,2519,8690,2.0,0,0,5,8,2519,0,0,98166,47.4428,-122.344,2500,9500,21,41,41,False
549000.0,3,1.75,1540,1044,3.0,0,0,3,8,1540,0,0,98115,47.6765,-122.32,1580,3090,7,0,0,False
425000.0,3,2.25,1660,6000,1.0,0,0,3,7,1110,550,0,98122,47.6113,-122.297,1440,4080,3,35,35,False
317625.0,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,0,98144,47.5747,-122.304,1440,4000,20,89,89,False
975000.0,4,2.5,2720,11049,2.0,0,0,3,10,2720,0,0,98004,47.5815,-122.192,2750,11049,9,25,25,False
287000.0,4,2.5,2240,4648,2.0,0,0,3,7,2240,0,0,98001,47.3378,-122.257,2221,4557,9,9,9,False
204000.0,3,1.0,1000,12070,1.0,0,0,4,7,1000,0,0,98042,47.3621,-122.11,1010,12635,25,46,46,False
1325000.0,5,2.25,3200,20158,1.0,0,0,3,8,1600,1600,0,98004,47.6303,-122.215,3390,20158,12,49,49,False
1040000.0,5,3.25,4770,50094,1.0,0,0,4,11,3070,1700,0,98005,47.6525,-122.16,3530,38917,12,41,41,False
325000.0,3,2.0,1260,5612,1.0,0,0,4,7,1260,0,0,98034,47.7362,-122.179,1640,4745,5,43,43,False
571000.0,4,2.0,2750,7807,1.5,0,0,5,7,2250,500,0,98125,47.7168,-122.287,1510,7807,10,98,98,False
360000.0,4,2.5,2380,5000,2.0,0,0,3,8,2380,0,0,98038,47.3608,-122.036,2420,5000,10,9,9,False
349000.0,3,1.75,1790,50529,1.0,0,0,5,7,1090,700,0,98042,47.3511,-122.073,1940,50529,16,50,50,False
832500.0,4,4.0,3430,35102,2.0,0,0,4,10,2390,1040,0,98075,47.5822,-121.987,3240,35020,5,28,28,False
380000.0,4,1.75,1760,7300,1.0,0,0,3,7,880,880,0,98008,47.6034,-122.125,1680,7500,13,58,58,False
480000.0,3,1.0,1040,5060,1.0,0,0,3,7,1040,0,0,98116,47.5636,-122.394,890,5060,20,74,74,False
410000.0,3,1.0,1410,5060,1.0,0,0,4,7,910,500,0,98133,47.7073,-122.34,1130,5693,9,58,58,False
720000.0,4,2.5,3450,39683,2.0,0,0,3,10,3450,0,0,98010,47.342,-122.025,3350,39750,23,13,13,False
390000.0,3,2.5,2350,5100,2.0,0,0,3,8,2350,0,0,98038,47.3512,-122.008,2350,5363,2,11,11,False
360000.0,4,2.5,1900,5889,2.0,0,0,3,7,1900,0,0,98038,47.349,-122.031,1870,6405,22,22,22,False
355000.0,2,1.0,2020,6720,1.0,0,0,3,7,1010,1010,0,98118,47.5474,-122.291,1720,6720,28,66,66,False
356000.0,3,1.5,1680,8712,1.0,0,0,3,8,1680,0,0,98059,47.4811,-122.149,1850,8797,28,51,51,False
315000.0,3,1.0,960,6634,1.0,0,0,3,6,960,0,0,98125,47.7264,-122.31,1570,7203,2,62,62,False
940000.0,3,1.5,2140,3600,2.0,0,0,3,9,1900,240,0,98119,47.6337,-122.365,2020,4800,14,89,89,False
305000.0,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,0,98092,47.2909,-122.189,1590,8165,3,53,53,False
461000.0,3,3.25,2770,6278,2.0,0,0,3,9,1980,790,0,98056,47.5228,-122.199,1900,7349,18,8,8,False
215000.0,2,2.25,1610,2040,2.0,0,0,4,7,1610,0,0,98056,47.518,-122.194,1950,2025,19,35,35,False
335000.0,2,1.75,1030,1066,2.0,0,0,3,7,765,265,0,98136,47.5394,-122.387,1030,1106,4,8,8,False
243500.0,4,2.5,1980,7403,2.0,0,0,3,7,1980,0,0,98023,47.2897,-122.372,1980,7510,22,26,26,False
1099880.0,5,2.75,3520,6353,2.0,0,0,4,10,3520,0,0,98199,47.6506,-122.391,2520,6250,11,14,14,False
153000.0,3,1.0,1200,10500,1.0,0,0,3,7,1200,0,0,98023,47.322,-122.351,1350,10500,26,53,53,False
430000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,0,98117,47.687,-122.386,1570,4500,25,75,75,False
700000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,0,98117,47.687,-122.386,1570,4500,23,75,75,False
905000.0,4,2.5,3300,10250,1.0,0,0,3,7,2390,910,1991,98040,47.5873,-122.249,1950,6045,8,68,23,True
247500.0,3,1.75,1960,15681,1.0,0,0,3,7,1960,0,0,98032,47.3576,-122.277,1750,15616,30,48,48,False
199000.0,4,1.5,1160,6400,1.0,0,0,4,7,1160,0,0,98023,47.3036,-122.378,1160,6400,12,39,39,False
314000.0,3,1.75,1810,41800,1.0,0,0,5,7,1210,600,0,98038,47.4109,-121.958,1650,135036,11,34,34,False
437500.0,3,2.5,2320,36847,2.0,0,2,3,9,2320,0,0,98045,47.4838,-121.714,2550,35065,16,22,22,False
850830.0,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,0,98102,47.6415,-122.315,2200,4500,11,104,104,False
555000.0,3,2.0,1980,3478,1.5,0,0,4,7,1440,540,0,98117,47.6775,-122.372,1610,3478,27,85,85,False
699950.0,3,2.25,2190,107593,2.0,0,0,4,8,2190,0,0,98077,47.7731,-122.08,2570,47777,12,31,31,False
1088000.0,3,2.5,2920,8113,2.0,0,0,3,8,2920,0,2010,98004,47.5814,-122.196,2370,8113,7,64,4,True
290000.0,3,1.0,1210,33919,1.0,0,0,3,7,1210,0,0,98058,47.4375,-122.184,1640,14910,24,60,60,False
375000.0,3,2.5,2340,10005,1.0,0,0,4,8,1460,880,0,98058,47.4431,-122.133,2250,8162,2,37,37,False
460000.0,3,1.0,1670,4005,1.5,0,0,4,7,1170,500,0,98117,47.6878,-122.38,1240,4005,23,75,75,False
188500.0,2,1.75,1240,2493,1.0,0,0,4,8,1240,0,0,98198,47.3813,-122.322,1270,4966,23,29,29,False
680000.0,4,2.5,3140,28037,2.0,0,0,4,10,3140,0,0,98077,47.7304,-122.082,2990,35001,5,24,24,False
470000.0,5,1.75,2030,12342,2.0,0,0,4,7,2030,0,0,98052,47.6417,-122.109,2500,9433,27,72,72,False
597750.0,4,2.5,2310,9624,2.0,0,0,3,8,2310,0,0,98027,47.5386,-122.053,1940,9636,25,30,30,False
570000.0,3,1.75,1260,3328,1.0,0,0,5,6,700,560,0,98103,47.6823,-122.349,1380,3536,4,110,110,False
272500.0,3,1.75,1540,12600,1.0,0,0,4,7,1160,380,0,98038,47.3624,-122.031,1540,11656,16,34,34,False
329950.0,3,1.75,2080,5969,1.0,0,2,3,7,1080,1000,0,98108,47.5474,-122.295,2090,5500,24,43,43,False
480000.0,4,2.5,3230,16171,2.0,0,3,3,9,2520,710,0,98001,47.3183,-122.253,2640,8517,28,13,13,False
740500.0,3,3.5,4380,6350,2.0,0,0,3,8,2780,1600,1999,98117,47.6981,-122.368,1830,6350,21,114,15,True
518500.0,3,3.5,1590,1102,3.0,0,0,3,8,1590,0,0,98103,47.6824,-122.347,1620,3166,26,4,4,False
205425.0,2,1.0,880,6780,1.0,0,0,4,6,880,0,0,98178,47.5009,-122.248,1190,6780,23,69,69,False
171800.0,4,2.0,1570,9600,1.0,0,0,3,6,1570,0,0,98168,47.4965,-122.303,1880,9000,8,65,65,False
535000.0,4,1.0,1610,2982,1.5,0,0,4,7,1610,0,0,98144,47.587,-122.294,1610,4040,11,90,90,False
660000.0,3,2.5,2400,6474,1.0,0,2,3,8,1560,840,0,98177,47.7728,-122.386,2340,10856,2,51,51,False
391500.0,3,2.0,1450,9132,1.0,0,0,3,7,1450,0,0,98034,47.7288,-122.226,1580,9104,19,27,27,False
395000.0,2,1.0,770,6000,1.0,0,0,3,6,770,0,0,98117,47.6999,-122.364,1710,6000,6,62,62,False
445000.0,4,1.75,2100,4400,1.5,0,0,5,7,1720,380,0,98118,47.5299,-122.266,1850,4400,4,90,90,False
770000.0,3,2.25,2910,10204,2.0,0,0,3,9,2910,0,0,98052,47.6897,-122.098,2700,13992,18,24,24,False
1450000.0,4,2.75,2750,17789,1.5,0,0,3,8,1980,770,1992,98004,47.6141,-122.212,3060,11275,2,101,23,True
445000.0,3,2.25,2100,8201,1.0,0,2,3,8,1620,480,0,98178,47.5091,-122.244,2660,8712,17,47,47,False
260000.0,4,2.25,2160,8811,1.0,0,0,3,8,1360,800,0,98023,47.3129,-122.39,2090,8400,17,36,36,False
822500.0,5,3.5,2320,4960,2.0,0,0,5,7,1720,600,0,98103,47.6763,-122.352,1700,4960,13,88,88,False
430000.0,4,2.5,2070,4310,2.0,0,0,3,7,2070,0,0,98065,47.5319,-121.85,1970,3748,6,11,11,False
212000.0,3,1.75,1060,7875,1.0,0,0,4,7,1060,0,0,98092,47.2761,-122.152,1420,7680,5,29,29,False
660500.0,4,2.25,2010,9603,1.0,0,0,3,8,1440,570,0,98027,47.5343,-122.054,2060,9793,28,29,29,False
784000.0,3,3.5,3950,111078,1.5,0,0,3,9,2460,1490,0,98052,47.697,-122.072,2480,88500,12,25,25,False
453246.0,3,2.5,2010,2287,2.0,0,0,3,8,1390,620,0,98029,47.5517,-121.998,1690,1662,12,0,0,False
675000.0,4,3.5,2140,2278,3.0,0,0,3,9,2140,0,0,98107,47.6734,-122.38,1540,2285,26,10,10,False
199000.0,3,1.75,1320,17390,1.0,0,0,4,7,1320,0,0,98003,47.3257,-122.296,1550,19265,13,58,58,False
220000.0,4,1.75,2020,7840,1.0,0,0,3,7,1010,1010,0,98003,47.3309,-122.299,1750,8140,5,46,46,False
452000.0,4,2.25,2590,10002,1.0,0,0,4,8,1340,1250,0,98028,47.7689,-122.266,1550,10436,29,46,46,False
382500.0,2,1.0,1190,4440,1.0,0,0,3,6,1190,0,0,98125,47.7135,-122.287,1060,5715,7,33,33,False
519950.0,3,2.25,1170,1249,3.0,0,0,3,8,1170,0,0,98107,47.6722,-122.381,1350,1310,7,0,0,False
665000.0,2,1.0,1110,3200,1.0,0,0,3,7,1110,0,0,98119,47.6338,-122.358,1170,3600,27,89,89,False
527700.0,5,2.5,2820,9375,1.0,0,0,4,8,1550,1270,0,98006,47.5707,-122.128,2820,9375,8,46,46,False
205000.0,3,1.0,1610,8579,1.0,0,0,4,7,1010,600,0,98058,47.4563,-122.171,1610,8579,8,53,53,False
420000.0,3,1.0,1060,8097,1.0,0,0,4,7,940,120,0,98133,47.7144,-122.351,1560,7940,15,92,92,False
500000.0,4,2.25,2030,8517,1.0,0,0,4,8,1380,650,0,98006,47.5495,-122.174,2230,8824,27,54,54,False
921500.0,4,2.5,3670,315374,2.0,0,0,4,9,3670,0,0,98077,47.7421,-122.026,2840,87991,3,20,20,False
890000.0,4,1.0,2550,4000,2.0,0,0,3,8,2370,180,0,98109,47.6354,-122.353,2200,4000,25,109,109,False
430000.0,2,2.5,2420,60984,2.0,0,0,3,7,2420,0,0,98027,47.5262,-121.943,1940,193842,6,7,7,False
258000.0,5,2.0,2260,12500,1.0,0,0,4,8,1130,1130,0,98032,47.3887,-122.286,1360,18000,30,54,54,False
511000.0,3,1.0,1430,3455,1.0,0,0,3,7,980,450,0,98103,47.6873,-122.336,1450,4599,4,67,67,False
532170.0,3,2.0,1360,3090,2.0,0,0,3,8,1360,0,0,98103,47.6838,-122.353,1500,3090,20,24,24,False
560000.0,3,1.0,1110,5000,1.5,0,0,3,7,1110,0,0,98107,47.655,-122.359,1420,5000,9,68,68,False
282950.0,3,1.0,1250,8200,1.0,0,0,4,7,1250,0,0,98003,47.3255,-122.304,1680,8633,31,61,61,False
2250000.0,4,3.25,5180,19850,2.0,0,3,3,12,3540,1640,0,98006,47.562,-122.162,3160,9750,1,9,9,False
350000.0,1,1.0,700,5100,1.0,0,0,3,7,700,0,0,98115,47.679,-122.3,1010,5100,16,72,72,False
215000.0,3,1.0,1180,7669,1.0,0,0,4,7,1180,0,0,98058,47.4479,-122.176,1190,7669,28,47,47,False
650000.0,5,3.5,3960,25245,2.0,0,0,3,9,2500,1460,0,98056,47.525,-122.172,2640,13675,20,18,18,False
320000.0,4,2.75,2640,7500,1.0,0,0,3,8,1620,1020,0,98023,47.3135,-122.369,1980,7875,7,47,47,False
247000.0,3,2.0,1270,7198,1.5,0,0,3,7,1270,0,2013,98022,47.2086,-121.996,1160,7198,13,98,1,True
320000.0,4,1.75,1760,11180,1.0,0,0,4,8,1760,0,0,98059,47.4715,-122.118,1730,11180,3,46,46,False
255000.0,5,2.25,2060,8632,1.0,0,0,3,7,1030,1030,0,98146,47.4877,-122.335,1010,11680,7,52,52,False
438000.0,3,1.75,1780,9660,1.0,0,0,3,7,1780,0,0,98034,47.7171,-122.193,1200,9660,9,53,53,False
900000.0,3,2.5,3400,16603,2.0,0,0,3,10,3400,0,0,98075,47.6012,-122.023,3400,12601,4,15,15,False
441000.0,3,2.75,1910,7280,1.0,0,0,3,7,1160,750,0,98034,47.7319,-122.224,1710,8152,20,35,35,False
420000.0,3,2.0,2020,38332,1.0,0,0,4,7,1010,1010,0,98027,47.4582,-122.023,2110,36590,12,39,39,False
370000.0,3,1.75,1580,7000,1.0,0,0,3,7,1180,400,0,98034,47.7209,-122.168,1640,7500,8,38,38,False
269950.0,2,1.75,1340,7250,1.0,0,0,5,5,700,640,0,98198,47.408,-122.327,1830,9750,19,66,66,False
807100.0,4,2.5,2680,4499,2.0,0,0,3,9,2680,0,0,98006,47.565,-122.125,2920,4500,24,16,16,False
653000.0,3,2.5,2680,9750,1.0,0,0,4,8,1610,1070,0,98034,47.7028,-122.231,2480,8750,5,35,35,False
371500.0,3,2.0,1370,8336,1.0,0,0,5,7,1370,0,0,98133,47.7458,-122.331,1770,7288,11,50,50,False
284000.0,3,1.75,1560,21000,1.0,0,0,3,7,1560,0,0,98166,47.4776,-122.337,1070,7920,16,61,61,False
272000.0,3,1.75,2160,7140,1.0,0,0,4,7,1670,490,0,98023,47.3026,-122.374,1930,7350,2,37,37,False
313000.0,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,0,98133,47.7658,-122.339,1480,7940,2,59,59,False
917500.0,4,2.5,3880,35003,2.0,0,0,3,10,2570,1310,0,98033,47.6477,-122.182,3740,35230,16,31,31,False
673000.0,4,2.25,2590,8190,2.0,0,0,4,8,2590,0,0,98006,47.5619,-122.125,2260,8335,29,34,34,False
425000.0,3,2.5,1120,1100,2.0,0,0,3,8,820,300,0,98122,47.6106,-122.31,1590,1795,10,7,7,False
399950.0,5,2.75,1970,5400,1.0,0,0,3,7,1320,650,0,98144,47.5868,-122.308,1280,2150,9,28,28,False
385000.0,3,1.0,1220,4800,1.0,0,0,3,6,1220,0,0,98122,47.6101,-122.307,1200,4800,30,113,113,False
269950.0,3,1.5,1950,7560,1.0,0,2,4,7,1320,630,0,98022,47.1976,-121.999,1950,8941,17,39,39,False
330000.0,2,1.0,1350,8220,1.0,0,0,3,7,1060,290,0,98177,47.7224,-122.358,1540,8280,7,66,66,False
260000.0,3,2.5,1670,5797,2.0,0,0,3,7,1670,0,0,98030,47.3505,-122.179,1670,6183,25,26,26,False
470000.0,4,3.0,2380,5125,1.5,0,0,4,7,1680,700,0,98126,47.5384,-122.376,1410,5375,14,90,90,False
589000.0,4,3.0,2440,9600,2.0,0,0,5,7,2440,0,0,98034,47.7044,-122.2,2290,9600,13,53,53,False
163500.0,2,1.5,1050,3419,2.0,0,0,3,7,1050,0,0,98038,47.3848,-122.039,1050,3417,23,18,18,False
835000.0,4,2.75,3130,13412,2.0,0,0,3,9,2140,990,0,98052,47.6993,-122.102,2260,9984,5,21,21,False
1095000.0,5,3.0,4090,12850,1.0,0,2,4,10,2090,2000,0,98033,47.6627,-122.188,2540,10270,21,28,28,False
269000.0,4,1.75,1490,10000,1.0,0,0,4,8,1100,390,0,98023,47.3099,-122.379,2190,8910,15,46,46,False
560000.0,3,2.5,1900,8744,2.0,0,0,3,8,1900,0,0,98074,47.62,-122.043,2030,8744,5,27,27,False
615000.0,4,1.0,1330,2400,1.5,0,0,4,6,1330,0,0,98103,47.65,-122.34,1330,4400,18,114,114,False
585188.0,3,2.25,2230,10026,1.0,0,0,3,8,1430,800,0,98052,47.6647,-122.153,2230,9340,5,39,39,False
305000.0,3,1.75,1650,9480,1.0,0,0,3,7,1220,430,0,98034,47.726,-122.191,1540,8400,18,37,37,False
166950.0,3,1.0,1190,8820,1.0,0,0,3,6,1190,0,0,98058,47.4616,-122.184,1230,7980,5,55,55,False
799000.0,3,2.5,2140,9897,1.0,0,0,4,8,2140,0,0,98040,47.5505,-122.219,2680,10083,12,55,55,False
400000.0,3,2.5,2180,7508,1.0,0,0,4,7,1420,760,0,98133,47.7606,-122.336,1900,7818,25,52,52,False
230000.0,3,1.0,1060,10228,1.0,0,0,3,7,1060,0,0,98155,47.7481,-122.3,1570,10228,1,66,66,False
256883.0,3,2.5,1690,5025,2.0,0,0,3,8,1690,0,0,98023,47.2779,-122.347,2550,5001,15,11,11,False
423000.0,4,2.0,1970,6480,1.5,0,0,5,7,1130,840,0,98108,47.5511,-122.312,1500,6480,11,94,94,False
465000.0,3,2.5,2150,4084,2.0,0,0,3,8,2150,0,0,98126,47.5488,-122.372,1750,2385,23,7,7,False
440000.0,3,2.5,1910,66211,2.0,0,0,3,7,1910,0,0,98024,47.5385,-121.911,2330,67268,13,18,18,False
385000.0,3,1.75,1350,155073,1.0,0,0,4,7,1350,0,0,98038,47.4058,-121.994,1560,50965,14,45,45,False
210000.0,3,1.0,860,11725,1.0,0,0,4,6,860,0,0,98056,47.5093,-122.184,1300,9514,11,72,72,False
297000.0,3,2.5,1940,14952,2.0,0,0,3,8,1940,0,0,98042,47.3777,-122.165,2030,10450,12,20,20,False
470000.0,3,1.0,1010,5000,1.0,0,0,3,7,1010,0,0,98107,47.675,-122.394,1680,5000,16,62,62,False
226500.0,3,1.5,1300,7370,1.0,0,0,4,7,900,400,0,98023,47.3025,-122.37,1430,7500,4,38,38,False
274250.0,3,1.0,910,8450,1.0,0,0,4,6,910,0,0,98059,47.4787,-122.158,1400,8040,3,53,53,False
840000.0,4,1.75,2480,11010,1.0,0,0,4,9,1630,850,0,98040,47.5378,-122.219,2770,10744,4,48,48,False
677900.0,3,2.5,2440,4587,2.0,0,0,3,8,2440,0,0,98052,47.7073,-122.114,2750,4587,19,4,4,False
425000.0,3,1.0,1010,5864,1.0,0,0,3,7,1010,0,0,98116,47.5733,-122.381,1290,5000,5,100,100,False
180250.0,2,0.75,900,9600,1.0,0,0,3,6,900,0,0,98166,47.4604,-122.339,1250,14280,23,73,73,False
464000.0,6,3.0,2300,3404,2.0,0,0,3,7,1600,700,1994,98133,47.7067,-122.343,1560,1312,17,94,20,True
320000.0,4,2.25,1550,7579,2.0,0,0,3,8,1550,0,0,98038,47.354,-122.047,1630,6397,22,22,22,False
625504.0,3,2.25,1270,1566,2.0,0,0,3,8,1060,210,0,98105,47.6647,-122.284,1160,1327,17,0,0,False
592500.0,4,2.5,2240,12032,1.0,0,0,3,9,2240,0,0,98074,47.6143,-122.017,2520,12368,15,31,31,False
465000.0,3,2.5,2714,17936,2.0,0,0,3,9,2714,0,0,98001,47.3185,-122.275,2590,18386,14,10,10,False
477000.0,4,2.75,1720,6270,2.0,0,0,3,8,1720,0,0,98118,47.5458,-122.268,2130,8700,27,36,36,False
280000.0,2,1.0,850,16400,1.0,0,0,3,6,850,0,0,98168,47.4889,-122.299,1100,14459,15,92,92,False
1505000.0,5,3.0,3300,33474,1.0,0,3,3,9,1870,1430,1991,98040,47.5673,-122.21,3836,20953,21,58,24,True
445838.0,3,2.5,2250,5692,2.0,0,0,3,8,2250,0,0,98146,47.5133,-122.379,1320,5390,3,14,14,False
